President,Date,Title
Barack Obama,18-Jan-17,The President's News Conference
Donald J. Trump,27-Jan-17,The President's News Conference With Prime Minister Theresa May of the United Kingdom
Donald J. Trump,10-Feb-17,The President's News Conference With Prime Minister Shinzo Abe of Japan
Donald J. Trump,13-Feb-17,The President's News Conference With Prime Minister Justin P.J. Trudeau of Canada
Donald J. Trump,15-Feb-17,The President's News Conference With Prime Minister Benjamin Netanyahu of Israel
Donald J. Trump,16-Feb-17,The President's News Conference
Donald J. Trump,17-Mar-17,The President's News Conference With Chancellor Angela Merkel of Germany
Donald J. Trump,5-Apr-17,The President's News Conference With King Abdullah II of Jordan
Donald J. Trump,12-Apr-17,The President's News Conference With Secretary General Jens Stoltenberg of the North Atlantic Treaty Organization
Donald J. Trump,20-Apr-17,The President's News Conference With Prime Minister Paolo Gentiloni of Italy
Donald J. Trump,18-May-17,The President's News Conference With President Juan Manuel Santos Calderon of Colombia